num,arquivo,headline,primary_text,description,cta
12,12-testimonial-joao.png,"top 3 que faz sentido.","""um top 3 que bateu com o que penso em seguir."" — joão vitor, médico formado pela ufam.","R$ 149 · 14 dias garantia","Saiba Mais"
13,13-stat-55-especialidades.png,"55 áreas, 1 match.","o brasil reconhece 55 especialidades médicas. quizzes online cobrem 5 a 10. o med escolha cobre todas — inclusive a que você nem pensava.","R$ 149 · 14 dias garantia","Saiba Mais"
14,14-stat-100-pontos.png,"100+ pontos. 6 eixos.","100+ pontos do seu perfil em 6 eixos diferentes, cruzados com 55 áreas. é por isso que o resultado faz sentido.","R$ 149 · 14 dias garantia","Saiba Mais"
15,15-stat-rotacao-vs-carreira.png,"4-8 semanas vs 30 anos.","rotação no internato: 4-8 semanas. especialidade: 30 anos. amostra pequena demais pra fechar carreira. o método resolve.","R$ 149 · 14 dias garantia","Saiba Mais"
16,16-aspirational-hero-male.png,"definir com método.","sua especialidade vai definir 30 anos da sua vida. faz com método, não com achismo. R$ 149, 14 dias de garantia.","R$ 149 · 14 dias garantia","Saiba Mais"
17,17-aspirational-hero-senior.png,"decidir uma vez.","a segurança de saber o porquê da sua escolha vem do método. com o med escolha, você fecha uma vez.","R$ 149 · 14 dias garantia","Saiba Mais"
18,18-aspirational-hero-student.png,"método pra estudante.","você ainda tem tempo de decidir com método. o match cruza seu perfil com as 55 áreas reconhecidas no brasil.","R$ 149 · 14 dias garantia","Saiba Mais"
19,19-problem-state-male-library.png,"a decisão pendente.","madrugada estudando, decisão pendente, ainda no escuro. o match resolve em 100+ pontos do seu perfil.","R$ 149 · 14 dias garantia","Saiba Mais"
20,20-anti-quiz.png,"sua área merece mais.","10 perguntas não cobrem 55 áreas. sua especialidade merece um teste à altura. R$ 149, 14 dias de garantia.","R$ 149 · 14 dias garantia","Saiba Mais"
21,21-pricing-math.png,"R$ 149 contra 30 anos.","R$ 149 contra 30 anos de carreira. a matemática mais simples do dia. acesso vitalício + 14 dias de garantia.","R$ 149 · 14 dias garantia","Comprar Agora"
22,22-guarantee-14-dias.png,"14 dias de garantia.","faz o teste, lê o ranking, assiste as lives. se não for pra você, devolve. 14 dias, sem perguntas.","R$ 149 · 14 dias garantia","Comprar Agora"
23,23-motion-poster-tres-conselheiros.png,"3 conselhos opostos.","tio médico fala uma coisa. professor outra. mãe uma terceira. nenhum conhece seu perfil. o match conhece.","R$ 149 · 14 dias garantia","Saiba Mais"
24,24-motion-poster-55-especialidades.png,"o match das 55.","55 áreas reconhecidas no brasil, organizadas e ranqueadas com base em quem você é. sem chute. sem achismo.","R$ 149 · 14 dias garantia","Saiba Mais"
25,25-motion-poster-fim-do-achismo.png,"fim do achismo.","fim do achismo, começo do método. fecha a decisão da sua especialidade de uma vez. R$ 149.","R$ 149 · 14 dias garantia","Saiba Mais"
26,26-stat-50-lives-vitalicio.png,"50+ lives, vitalício.","além do match, acervo com 50+ lives gravadas. tira dúvida com especialistas que já passaram. acesso vitalício, R$ 149.","R$ 149 · 14 dias garantia","Comprar Agora"
27,27-stat-15-min-30-anos.png,"15 min, 30 anos.","15 minutos pra fazer o teste. 30 anos pra viver a especialidade. melhor não errar.","R$ 149 · 14 dias garantia","Saiba Mais"
28,28-anti-listinha-pros-contras.png,"a lista não decide.","você já encheu folha de prós e contras e não fechou nada. método fecha. o match cruza 100+ pontos com 55 áreas.","R$ 149 · 14 dias garantia","Saiba Mais"
29,29-anti-instinto.png,"instinto + método.","instinto te trouxe até aqui. mas escolher entre 55 áreas pede dado. o match entrega ranking e narrativa.","R$ 149 · 14 dias garantia","Saiba Mais"
30,30-anti-mentoria-cara.png,"R$ 149 vs R$ 5.000.","mentoria 1-on-1 custa R$ 5.000+. o match custa R$ 149 e cobre as 55 áreas. matemática simples.","R$ 149 · 14 dias garantia","Comprar Agora"
31,31-anti-decidir-no-r1.png,"antes do r1.","decidir no r1 não é decidir. é apostar. faz o match antes, com 100+ pontos do seu perfil.","R$ 149 · 14 dias garantia","Saiba Mais"
32,32-anti-conselho-familia.png,"ninguém te conhece como você.","tio médico não conhece seu perfil. seu professor também não. o match conhece — porque é seu.","R$ 149 · 14 dias garantia","Saiba Mais"
33,33-photo-medica-tablet-headline.png,"método, não achismo.","a decisão da sua especialidade não é palpite. é método. o match cruza 100+ pontos com 55 áreas.","R$ 149 · 14 dias garantia","Saiba Mais"
34,34-photo-medico-corredor.png,"define sua rotina.","sua rotina, plantão, salário e estilo de vida — tudo decidido por uma única escolha. faz com método.","R$ 149 · 14 dias garantia","Saiba Mais"
35,35-photo-estudante-livro.png,"a faculdade não ensina.","a faculdade ensina muita coisa. escolher especialidade não é uma delas. o med escolha resolve.","R$ 149 · 14 dias garantia","Saiba Mais"
36,36-photo-mao-stetoscope.png,"100+ pontos do seu perfil.","o teste tem 100+ pontos em 6 eixos. mapeia quem você é antes de sugerir o que você vira.","R$ 149 · 14 dias garantia","Saiba Mais"
37,37-photo-medica-transicao.png,"uma vida, uma área.","uma escolha pra uma carreira inteira. fecha de uma vez, com método. R$ 149, 14 dias de garantia.","R$ 149 · 14 dias garantia","Saiba Mais"
38,38-testimonial-quote-only-camila.png,"nem pensava antes.","""uma especialidade que eu nem pensava antes."" — camila, estudante de medicina, sobre o resultado do seu match.","R$ 149 · 14 dias garantia","Saiba Mais"
39,39-testimonial-quote-only-vanessa.png,"bati o martelo.","""fez eu bater o martelo."" — vanessa, médica formada há 2 anos, sobre como o med escolha resolveu sua indecisão.","R$ 149 · 14 dias garantia","Saiba Mais"
40,40-testimonial-quote-only-julia.png,"em paz com o futuro.","""meu coração em paz com meu futuro."" — júlia, estudante de medicina, sobre fazer o match.","R$ 149 · 14 dias garantia","Saiba Mais"
41,41-testimonial-quote-only-joao.png,"top 3 que bateu.","""um top 3 que bateu com o que penso em seguir."" — joão vitor, médico formado pela ufam.","R$ 149 · 14 dias garantia","Saiba Mais"
42,42-manifesto-uma-escolha.png,"uma escolha. um método.","uma escolha. uma vida. um método. o match da especialidade médica. R$ 149.","R$ 149 · 14 dias garantia","Saiba Mais"
43,43-manifesto-seguranca-saber.png,"a segurança do porquê.","o que separa decisão de aposta? saber o porquê. o match entrega ranking e narrativa explicando cada combinação.","R$ 149 · 14 dias garantia","Saiba Mais"
44,44-feature-narrativa-spotlight.png,"narrativa, não só lista.","além do ranking: por que cada área combina com você, quais traços pesam mais, o que esperar do dia a dia. inclusa em todos os matches.","R$ 149 · 14 dias garantia","Saiba Mais"
45,45-anti-googlar.png,"googlar não é pesquisa.","você não googla diagnóstico de paciente. por que googlar sua carreira? o match cruza 100+ pontos com 55 áreas.","R$ 149 · 14 dias garantia","Saiba Mais"
46,46-anti-procrastinar.png,"adiar é decidir mal.","adiar é decisão. ruim. enquanto você adia, a inscrição da residência se aproxima. faz o match agora.","R$ 149 · 14 dias garantia","Comprar Agora"
47,47-anti-especialidade-segura.png,"não existe área segura.","não existe especialidade segura. existe a especialidade certa pro seu perfil. o match identifica em 100+ pontos.","R$ 149 · 14 dias garantia","Saiba Mais"
48,48-anti-internato-decide.png,"internato mostra. método decide.","rotação de 4-8 semanas não cabe pra decidir 30 anos. o internato mostra. o método decide.","R$ 149 · 14 dias garantia","Saiba Mais"
C10,carousel-10-3-sinais/,"3 sinais. 1 método.","3 sinais de que você ainda não escolheu a especialidade certa — e como decidir com método em vez de achismo. arrasta pra ver. R$ 149, 14 dias de garantia.","R$ 149 · 14 dias garantia","Saiba Mais"
C25,carousel-25-3-verdades/,"3 verdades incômodas.","o que ninguém te disse sobre escolher especialidade — em 3 verdades incômodas. arrasta pra ver. R$ 149, 14 dias de garantia.","R$ 149 · 14 dias garantia","Saiba Mais"
